run_id,dtw,dtw_flag
run_001,1.2323484174279287,False
run_002,1.2306619892823079,False
run_003,1.292992898560006,False
run_004,0.9508099233163593,False
run_005,2.8326953066645455,False
run_006,1.7225471173596252,False
run_007,2.1296539875392297,False
run_008,1.0799337406014855,False
run_009,1.2248237627278584,False
run_010,0.981755765328264,False
run_011,1.3157862937301144,False
run_012,1.2742325683132072,False
run_013,1.468823173674598,False
run_014,2.128983908888312,False
run_015,3.0868535859191297,False
run_016,1.1768174924940555,False
run_017,2.0268340141407544,False
run_018,1.8200558452524174,False
run_019,1.8245007817666052,False
run_020,1.0432007370236585,False
run_021,1.3443121245455008,False
run_022,1.0402624808874117,False
run_023,1.0152361842967845,False
run_024,1.319970479829792,False
run_025,2.3647343599051434,False
run_026,1.0361058726080425,False
run_027,1.7950231503265046,False
run_028,2.008204530441364,False
run_029,2.620383741152912,False
run_030,0.905319335719259,False
run_031,2.4588367585358872,False
run_032,0.8236521463266797,False
run_033,1.1502202116026556,False
run_034,2.0283909205465873,False
run_035,2.7166469368112325,False
run_036,2.3558070112711302,False
run_037,2.2704552770588453,False
run_038,1.487844460720674,False
run_039,2.6153929054031004,False
run_040,1.6348242477927404,False
run_041,0.9285233331702908,False
run_042,0.5254954808695468,False
run_043,1.357812716996484,False
run_044,2.286610189230757,False
run_045,5.265947431726364,True
run_046,8.92968763259978,True
run_047,3.313156261034051,False
run_048,2.811027888171349,False
run_049,7.93193191030943,True
run_050,2.808888263845653,False
run_051,3.54892711152594,False
run_052,2.2323571617756017,False
run_053,3.0196080002798866,False
run_054,2.389349005030291,False
run_055,11.618372557283523,True
run_056,10.497291535963777,True
run_057,10.161714649076378,True
run_058,9.311739882780392,True
run_059,14.197945230606669,True
run_060,11.827535518168723,True
run_061,9.760224978965656,True
run_062,13.035295670526226,True
run_063,191.7983488338836,True
run_064,161.34072230423533,True
run_065,158.7911867101911,True
run_066,186.6345680358083,True
run_067,13.557306970950986,True
run_068,21.206773953768145,True
run_069,21.10949025446579,True
run_070,7.729703211572621,True
run_071,7.732581154960967,True
run_072,7.712573191309675,True
run_073,16.405241910353283,True
run_074,15.972833006043858,True
run_075,3.9544268507094085,False
run_076,4.402988574922292,False
run_077,3.800358858404963,False
run_078,4.6882848639880095,False
run_079,4.019901754552842,False
run_080,4.287891426246808,False
run_081,4.17597628545241,False
run_082,4.467703058819558,False
run_083,4.3145717770095615,False
run_084,4.463544131282627,False
run_085,4.472628147814066,False
run_086,4.755959555748781,False
run_087,10.10934123778686,True
run_088,1.1688116566082234,False
run_089,1.3164015390936814,False
run_090,3.213657663439594,False
run_091,0.5264816802677543,False
run_092,1.1084857252699396,False
run_093,9.312824405311261,True
run_094,1.559600025680045,False
run_095,12.347407297611044,True
run_096,12.22160205101929,True
run_097,10.156222980690998,True
run_098,13.277713549523785,True
run_099,10.862351779947693,True
run_100,10.000681159617706,True
run_101,10.047447132653568,True
run_102,15.436474180521136,True
run_103,43.82410308603057,True
run_104,30.308031117831657,True
run_105,52.05985043576074,True
run_106,18.77497570810905,True
run_107,41.021406188674426,True
run_108,25.421192514558392,True
run_109,53.42780936773923,True
run_110,24.77308431356613,True
run_111,63.004365661039216,True
run_112,18.18296327548198,True
run_113,54.2111352350402,True
run_114,26.621123530346164,True
run_115,53.429457949988496,True
run_116,32.04491485177713,True
run_117,51.41136436459121,True
run_118,27.259271971513613,True
run_119,48.02360451162095,True
run_120,29.511863050957036,True
run_121,43.45999182809167,True
run_122,21.038434327663925,True
run_123,58.94023774937263,True
run_124,35.607353913213196,True
run_125,53.4199222950085,True
run_126,25.60253189909619,True
run_127,5.406582469775596,True
run_128,6.4161069514288585,True
run_129,5.124851822902518,True
run_130,5.122164827304894,True
run_131,5.449604682778332,True
run_132,5.256361260370271,True
run_133,5.670573825602336,True
run_134,5.244827076981265,True
run_135,5.126716016822664,True
run_136,6.480576663155493,True
run_137,6.633713806066005,True
run_138,6.01317472178728,True
run_139,,False
run_140,,False
run_141,,False
run_142,,False
run_143,,False
run_144,,False
run_145,1.468823173674598,False
run_146,1.0799337406014855,False
run_147,1.7950231503265046,False
run_148,2.811027888171349,False
run_149,2.1296539875392297,False
run_150,2.2704552770588453,False
